"name","credits","code","level","url","location","teaching_form","pace_of_study","language_of_instruction","outline_url"
"Bachelor's Programme in Sustainable Development in Industrial Engineering","180","THU1Y","Bachelor","https://www.uu.se/en/study/programme/bachelors-programme-sustainable-development-industrial-engineering","Visby","On-campus","100%","English","https://www.uu.se/en/study/outline?query=3282"
"Master's Programme in Additive Manufacturing","120","TAT2M","Master","https://www.uu.se/en/study/programme/masters-programme-additive-manufacturing","Uppsala","On-campus","100%","English","https://www.uu.se/en/study/outline?query=3387"
"Master's Programme in All-Electric Propulsion Systems","120","TEF2M","Master","https://www.uu.se/en/study/programme/masters-programme-all-electric-propulsion-systems","Uppsala","On-campus","100%","English","https://www.uu.se/en/study/outline?query=3194"
"Master's Programme in Analytical Chemistry – EACH","120","TAK2M","Master","https://www.uu.se/en/study/programme/masters-programme-analytical-chemistry-each","Tartu and Uppsala","On-campus","100%","English","https://www.uu.se/en/study/outline?query=3329"
"Master's Programme in Applied Biotechnology","120","TTB2M","Master","https://www.uu.se/en/study/programme/masters-programme-applied-biotechnology","Uppsala","On-campus","100%","English","https://www.uu.se/en/study/outline?query=3317"
"Master's Programme in Battery Technology and Energy Storage","120","TBT2M","Master","https://www.uu.se/en/study/programme/masters-programme-battery-technology-and-energy-storage","Uppsala","On-campus","100%","English","https://www.uu.se/en/study/outline?query=3293"
"Master's Programme in Bioinformatics – Biology Background","120","TBK2M","Master","https://www.uu.se/en/study/programme/masters-programme-bioinformatics-biology-background","Uppsala","On-campus","100%","English","https://www.uu.se/en/study/outline?query=3323"
"Master's Programme in Bioinformatics – Computer Science Background","120","TBK2M","Master","https://www.uu.se/en/study/programme/masters-programme-bioinformatics-computer-science-background","Uppsala","On-campus","100%","English","https://www.uu.se/en/study/outline?query=3324"
"Master's Programme in Biology – Ecology and Conservation","120","TBI2M","Master","https://www.uu.se/en/study/programme/masters-programme-biology-ecology-and-conservation","Uppsala","On-campus","100%","English","NA"
"Master's Programme in Biology – Environmental Toxicology","120","TBI2M","Master","https://www.uu.se/en/study/programme/masters-programme-biology-environmental-toxicology","Uppsala","On-campus","100%","English","NA"
"Master's Programme in Biology – Cell and Molecular Biology","120","TBI2M","Master","https://www.uu.se/en/study/programme/masters-programme-biology-cell-and-molecular-biology","Uppsala","On-campus","100%","English","NA"
"Master's Programme in Biology – Ecosystems and Aquatic Ecology","120","TBI2M","Master","https://www.uu.se/en/study/programme/masters-programme-biology-ecosystems-and-aquatic-ecology","Uppsala","On-campus","100%","English","NA"
"Master's Programme in Biology – Evolutionary Biology","120","TBI2M","Master","https://www.uu.se/en/study/programme/masters-programme-biology-evolutionary-biology","Uppsala","On-campus","100%","English","NA"
"Master's Programme in Biology – Immunology and Microbiology","120","TBI2M","Master","https://www.uu.se/en/study/programme/masters-programme-biology-immunology-and-microbiology","Uppsala","On-campus","100%","English","NA"
"Master's Programme in Biology – NABiS – Nordic Master in Biodiversity and Systematics","120","TBI2M","Master","https://www.uu.se/en/study/programme/masters-programme-biology-nabis-nordic-master-biodiversity-and-systematics","Uppsala","On-campus","100%","English","NA"
"Master's Programme in Biophysics","120","TBF2M","Master","https://www.uu.se/en/study/programme/masters-programme-biophysics","Uppsala","On-campus","100%","English","https://www.uu.se/en/study/outline?query=3181"
"Master's Programme in Chemical Engineering","300","TKT2Y","Master","https://www.uu.se/en/study/programme?query=TKT2Y","Uppsala","On-campus","100%","Swedish","https://www.uu.se/en/study/outline?query=3384"
"Master's Programme in Chemistry – Bio and Nano Materials","120","TKE2M","Master","https://www.uu.se/en/study/programme/masters-programme-chemistry-bio-and-nano-materials","Uppsala","On-campus","100%","English","https://www.uu.se/en/study/outline?query=3308"
